9.81,Warning,6.87,Good,1.31,Bad,6.36,Good,194.1,Good
10.0,Warning,6.89,Good,1.29,Bad,24.0,Good,194.6,Good
9.0,Warning,6.97,Good,1.27,Bad,7.83,Good,194.9,Good
9.78,Warning,6.91,Good,1.0,Bad,0.0,Good,88.0,Good
10.0,Warning,0.0,Good,1.1,Bad,10.59,Good,195.6,Good
9.0,Warning,5.21,Good,1.0,Bad,11.34,Good,82.0,Good
10.05,Warning,4.73,Good,1.09,Bad,24.0,Good,195.0,Good
10.0,Warning,3.73,Good,1.0,Bad,11.95,Good,194.9,Good
10.53,Warning,3.61,Good,1.11,Bad,0.0,Good,89.0,Good
9.0,Warning,3.64,Good,1.11,Bad,12.98,Good,192.2,Good
10.76,Warning,0.0,Good,1.0,Bad,13.86,Good,195.4,Good
10.0,Warning,5.43,Good,1.1,Bad,0.0,Good,87.0,Good
10.46,Warning,6.15,Good,1.1,Bad,13.66,Good,195.9,Good
9.0,Warning,6.24,Good,1.0,Bad,14.38,Good,55.0,Warning
10.4,Warning,0.0,Good,1.06,Bad,24.0,Good,199.0,Good
10.0,Warning,6.14,Good,1.07,Bad,14.07,Good,193.8,Good
11.0,Bad,3.51,Good,1.0,Bad,0.0,Good,66.0,Good
10.95,Warning,0.0,Good,1.09,Bad,13.15,Good,193.2,Good
11.04,Bad,3.63,Good,1.1,Bad,14.28,Good,193.0,Good
11.02,Bad,3.66,Good,1.0,Bad,15.79,Good,199.0,Good
14.0,Bad,3.83,Good,1.12,Bad,0.0,Good,194.7,Good
11.01,Bad,4.0,Good,1.13,Bad,17.65,Good,185.3,Good
11.0,Bad,4.0,Good,1.0,Bad,17.43,Good,191.1,Good
11.03,Bad,4.18,Good,1.13,Bad,24.0,Good,188.2,Good
14.0,Bad,4.33,Good,1.1,Bad,19.5,Good,199.0,Good
14.0,Bad,4.43,Good,1.0,Bad,19.17,Good,185.4,Good
11.0,Bad,0.0,Good,1.11,Bad,19.18,Good,183.4,Good
11.0,Bad,4.92,Good,1.1,Bad,0.0,Good,187.3,Good
11.0,Bad,3.91,Good,0.97,Warning,15.56,Good,181.0,Good
11.5,Bad,4.79,Good,1.02,Bad,16.99,Good,181.1,Good
11.5,Bad,0.0,Good,1.0,Bad,24.0,Good,178.9,Good
13.0,Bad,4.79,Good,1.02,Bad,0.0,Good,176.9,Good
13.0,Bad,4.98,Good,1.0,Warning,15.64,Good,179.0,Good
12.0,Bad,5.29,Good,0.99,Warning,17.47,Good,169.7,Good
11.0,Bad,0.0,Good,1.0,Bad,24.0,Good,199.0,Good
12.0,Bad,5.87,Good,0.99,Warning,17.88,Good,180.6,Good
12.0,Bad,5.75,Good,1.0,Bad,16.45,Good,181.7,Good
11.5,Bad,5.31,Good,0.94,Warning,0.0,Good,174.9,Good
11.0,Bad,4.6,Good,0.95,Warning,24.0,Good,175.4,Good
11.23,Bad,4.71,Good,1.0,Bad,16.82,Good,176.5,Good
11.0,Bad,4.8,Good,0.95,Warning,15.97,Good,177.0,Good
11.16,Bad,4.94,Good,1.0,Bad,24.0,Good,153.8,Good
13.0,Bad,5.27,Good,0.91,Warning,16.4,Good,155.9,Good
11.13,Bad,5.38,Good,0.91,Warning,0.0,Good,131.0,Good
13.0,Bad,4.35,Good,1.0,Bad,14.68,Good,199.0,Good
11.0,Bad,4.2,Good,0.88,Warning,15.11,Good,127.7,Good
11.25,Bad,4.27,Good,0.88,Warning,16.09,Good,125.6,Good
10.0,Warning,5.36,Good,1.0,Bad,24.0,Good,150.9,Good
11.07,Bad,5.09,Good,0.89,Warning,16.15,Good,163.0,Good
10.98,Warning,5.68,Good,0.89,Warning,0.0,Good,40.0,Bad
9.0,Warning,4.64,Good,1.0,Bad,15.97,Good,141.7,Good
11.0,Bad,4.43,Good,0.9,Warning,16.34,Good,165.2,Good
10.0,Warning,4.74,Good,0.9,Warning,24.0,Good,172.8,Good
9.0,Warning,5.07,Good,1.0,Bad,18.21,Good,159.9,Good
10.81,Warning,5.45,Good,0.9,Warning,18.93,Good,140.3,Good
10.0,Warning,5.74,Good,0.9,Warning,0.0,Good,149.4,Good
9.0,Warning,6.1,Good,1.0,Bad,19.18,Good,159.1,Good
10.76,Warning,6.72,Good,0.83,Warning,16.26,Good,173.8,Good
