9.81,Warning,6.87,Good
10,Warning,6.89,Good
9,Warning,6.97,Good
9.78,Warning,6.91,Good
10,Warning,0,Good
9,Warning,5.21,Good
10.05,Warning,4.73,Good
10,Warning,3.73,Good
10.53,Warning,3.61,Good
9,Warning,3.64,Good
10.76,Warning,0,Good
10,Warning,5.43,Good
10.46,Warning,6.15,Good
9,Warning,6.24,Good
10.4,Warning,0,Good
10,Warning,6.14,Good
11,Bad,3.51,Good
10.95,Warning,0,Good
11.04,Bad,3.63,Good
11.02,Bad,3.66,Good
14,Bad,3.83,Good
11.01,Bad,4,Good
11,Bad,4,Good
11.03,Bad,4.18,Good
14,Bad,4.33,Good
14,Bad,4.43,Good
11,Bad,0,Good
11,Bad,4.92,Good
11,Bad,3.91,Good
11.5,Bad,4.79,Good
11.5,Bad,0,Good
13,Bad,4.79,Good
13,Bad,4.98,Good
12,Bad,5.29,Good
11,Bad,0,Good
12,Bad,5.87,Good
12,Bad,5.75,Good
11.5,Bad,5.31,Good
11,Bad,4.6,Good
11.23,Bad,4.71,Good
11,Bad,4.8,Good
11.16,Bad,4.94,Good
13,Bad,5.27,Good
11.13,Bad,5.38,Good
13,Bad,4.35,Good
11,Bad,4.2,Good
11.25,Bad,4.27,Good
10,Warning,5.36,Good
11.07,Bad,5.09,Good
10.98,Warning,5.68,Good
9,Warning,4.64,Good
11,Bad,4.43,Good
10,Warning,4.74,Good
9,Warning,5.07,Good
10.81,Warning,5.45,Good
10,Warning,5.74,Good
9,Warning,6.1,Good
10.76,Warning,6.72,Good
10.88,Warning,6.18,Good
9,Warning,4.76,Good
10,Warning,4.88,Good
10.99,Warning,5.38,Good
9,Warning,5.54,Good
8.99,Good,7.75,Good
8,Good,24,Good
7.99,Good,7.22,Good
8.04,Good,7.43,Good
8.05,Good,8.9,Good
8,Good,10.19,Good
8.05,Good,9.95,Good
8.01,Good,9.02,Good
8,Good,9.57,Good
7.92,Good,9.94,Good
7,Good,10.06,Good
7.95,Good,24,Good
7.86,Good,9.43,Good
7,Good,9.76,Good
7.73,Good,0,Good
7.59,Good,11.32,Good
8,Good,24,Good
7.61,Good,10.09,Good
7.35,Good,7.77,Good
7.32,Good,9.2,Good
8,Good,8.12,Good
7.31,Good,8.88,Good
7.47,Good,11.7,Good
8,Good,10.27,Good
7.3,Good,9.78,Good
7.31,Good,9.79,Good
8,Good,9.82,Good
7.47,Good,10.69,Good
7.57,Good,10.71,Good
7.54,Good,24,Good
8,Good,11.35,Good
7.52,Good,0,Good
7.61,Good,13.56,Good
8,Good,14.08,Good
7.61,Good,14.5,Good
7.57,Good,12.62,Good
7.47,Good,10.76,Good
7.59,Good,11.8,Good
7.89,Good,0,Good
7.44,Good,12.76,Good
8,Good,12.53,Good
7.61,Good,12.09,Good
7.5,Good,10.67,Good
8,Good,11.65,Good
7.8,Good,24,Good
7.74,Good,10.98,Good
7.84,Good,10.69,Good
8,Good,24,Good
7.66,Good,9.74,Good
8.02,Good,10.58,Good
8,Good,10.47,Good
7.81,Good,9.88,Good
7.94,Good,0,Good
8,Good,11.24,Good
7.5,Good,24,Good
8,Good,11.75,Good
7.68,Good,13.6,Good
7.82,Good,0,Good
8,Good,16.19,Good
7.78,Good,15.63,Good
7.7,Good,24,Good
7.98,Good,14.47,Good
7.63,Good,13.21,Good
8,Good,12.04,Good
7.84,Good,12.92,Good
7.88,Good,0,Good
8,Good,14.25,Good
7.8,Good,14.46,Good
7.95,Good,14.82,Good
8,Good,16.6,Good
7.51,Good,18.7,Good
7.51,Good,19.66,Good
7,Good,0,Good
7.59,Good,18.97,Good
7.37,Good,18.97,Good
7.35,Good,18.63,Good
7,Good,19.11,Good
7.32,Good,18.87,Good
8,Good,24,Good
7.22,Good,19.64,Good
7.32,Good,21.01,Good
7.22,Good,21.78,Good
8,Good,21.87,Good
7.31,Good,24,Good
7.26,Good,22.99,Good
8,Good,22.29,Good
7.27,Good,21.28,Good
7.44,Good,24,Good
8,Good,20.91,Good
7.63,Good,21.72,Good
7.3,Good,21.87,Good
8,Good,24,Good
7.22,Good,23.52,Good
7.06,Good,24,Good
7.03,Good,24.03,Good
8,Good,25.52,Warning
6.99,Good,24.34,Good
7.97,Good,25.23,Warning
8,Good,24.44,Good
7.05,Good,24,Good
8,Good,23.32,Good
7,Good,25,Warning
7.07,Good,24,Good
8,Good,24.61,Good
7.48,Good,25.38,Warning
7.56,Good,26.08,Warning
8,Good,25,Warning
7.47,Good,27.15,Warning
7.55,Good,25,Warning
8,Good,27.76,Warning
7.55,Good,30,Warning
8,Good,25,Warning
7.07,Good,26.05,Warning
7.06,Good,25.8,Warning
7.28,Good,25,Warning
8,Good,25.75,Warning
7.56,Good,26,Warning
7.72,Good,26.54,Warning
7.67,Good,25,Warning
8,Good,25,Warning
7.83,Good,30,Warning
7.97,Good,25,Warning
8.01,Good,27.39,Warning
8,Good,25,Warning
6.99,Good,30,Warning
