7.04,Good,24.91,Good
8,Good,24.77,Good
7.04,Good,24,Good
7.5,Good,26.04,Warning
8.1,Good,26.35,Warning
8,Good,25,Warning
8.16,Good,25,Warning
7.2,Good,30,Warning
8,Good,25.88,Warning
8.04,Good,25,Warning
8.4,Good,28.05,Warning
8,Good,5,Good
8,Good,28.32,Warning
7,Good,25,Warning
7.24,Good,27.96,Warning
7.26,Good,25,Warning
7.4,Good,30,Warning
7,Good,28.22,Warning
7.28,Good,25,Warning
7.36,Good,30,Warning
8,Good,28.34,Warning
6.92,Good,25,Warning
7.04,Good,27.56,Warning
7.18,Good,30,Warning
8,Good,25,Warning
6.98,Good,26.32,Warning
6.93,Good,30,Warning
6.93,Good,25.92,Warning
7,Good,25,Warning
6.94,Good,25.91,Warning
6.93,Good,26.41,Warning
6.89,Good,25,Warning
6.98,Good,30,Warning
8,Good,25,Warning
6.94,Good,27.17,Warning
6.93,Good,24,Good
6.92,Good,26.44,Warning
8,Good,25,Warning
7.05,Good,24,Good
7.09,Good,0,Good
7.04,Good,23.8,Good
